Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Day Of Week
2022-01-01,AQS,60010007,3,12.7,ug/m3 LC,52,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-01-02,AQS,60010007,3,13.9,ug/m3 LC,55,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
2022-01-03,AQS,60010007,3,7.1,ug/m3 LC,30,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Monday
2022-01-04,AQS,60010007,3,3.7,ug/m3 LC,15,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Tuesday
2022-01-05,AQS,60010007,3,4.2,ug/m3 LC,18,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Wednesday
2022-01-06,AQS,60010007,3,3.8,ug/m3 LC,16,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Thursday
2022-01-07,AQS,60010007,3,2.3,ug/m3 LC,10,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Friday
2022-01-08,AQS,60010007,3,6.9,ug/m3 LC,29,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-01-09,AQS,60010007,3,13.6,ug/m3 LC,54,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
2022-01-10,AQS,60010007,3,11.2,ug/m3 LC,47,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Monday
2022-01-11,AQS,60010007,3,9.2,ug/m3 LC,38,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Tuesday
2022-01-12,AQS,60010007,3,16.0,ug/m3 LC,59,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Wednesday
2022-01-13,AQS,60010007,3,19.5,ug/m3 LC,67,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Thursday
2022-01-14,AQS,60010007,3,8.3,ug/m3 LC,35,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Friday
2022-01-15,AQS,60010007,3,10.0,ug/m3 LC,42,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-01-16,AQS,60010007,3,24.0,ug/m3 LC,76,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
2022-01-17,AQS,60010007,3,18.4,ug/m3 LC,64,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Monday
2022-01-18,AQS,60010007,3,11.8,ug/m3 LC,49,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Tuesday
2022-01-19,AQS,60010007,3,8.4,ug/m3 LC,35,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Wednesday
2022-01-20,AQS,60010007,3,12.7,ug/m3 LC,52,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Thursday
2022-01-21,AQS,60010007,3,5.0,ug/m3 LC,21,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Friday
2022-01-22,AQS,60010007,3,6.4,ug/m3 LC,27,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-01-23,AQS,60010007,3,13.7,ug/m3 LC,54,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
