Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Day Of Week
2022-01-05,AQS,60370002,1,10.7,ug/m3 LC,45,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Wednesday
2022-01-11,AQS,60370002,1,3.1,ug/m3 LC,13,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Tuesday
2022-01-17,AQS,60370002,1,11.9,ug/m3 LC,50,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Monday
2022-01-23,AQS,60370002,1,3.5,ug/m3 LC,15,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Sunday
2022-01-26,AQS,60370002,1,3.4,ug/m3 LC,14,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Wednesday
2022-01-29,AQS,60370002,1,4.3,ug/m3 LC,18,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Saturday
2022-02-01,AQS,60370002,1,18.4,ug/m3 LC,64,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Tuesday
2022-02-04,AQS,60370002,1,3.7,ug/m3 LC,15,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Friday
2022-02-07,AQS,60370002,1,3.1,ug/m3 LC,13,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Monday
2022-02-10,AQS,60370002,1,5.2,ug/m3 LC,22,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Thursday
2022-02-13,AQS,60370002,1,4.0,ug/m3 LC,17,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Sunday
2022-02-16,AQS,60370002,1,4.6,ug/m3 LC,19,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Wednesday
2022-02-19,AQS,60370002,1,5.3,ug/m3 LC,22,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Saturday
2022-02-22,AQS,60370002,1,4.7,ug/m3 LC,20,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Tuesday
2022-02-25,AQS,60370002,1,6.2,ug/m3 LC,26,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Friday
2022-02-28,AQS,60370002,1,4.8,ug/m3 LC,20,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Monday
2022-03-03,AQS,60370002,1,12.7,ug/m3 LC,52,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Thursday
2022-03-06,AQS,60370002,1,4.6,ug/m3 LC,19,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Sunday
2022-03-09,AQS,60370002,1,6.5,ug/m3 LC,27,Azusa,1,100.0,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391,Wednesday
